Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Mercedes,C-Class,2011,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Inspect suspension system,$550,Hard
Ford,F-150,2015,Cooling System Issues,"Burning smell, Engine overheating",Replace water pump,$510,Medium
Hyundai,Sonata,2012,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Charge the battery,$127,Easy
Ford,F-150,2012,Tire Issues,"Car vibration, Low tire pressure",Replace tires,$144,Easy
Mercedes,C-Class,2020,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$1152,Hard
Honda,Civic,2016,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$571,Hard
Honda,Civic,2022,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$300,Medium
Kia,Sportage,2010,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$518,Hard
Honda,Civic,2012,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$125,Easy
Honda,Civic,2016,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$543,Hard
Nissan,Patrol,2021,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$591,Hard
Mercedes,C-Class,2021,Dead Battery,Car won't start,Charge the battery,$183,Easy
BMW,X5,2015,Exhaust System Issues,"Black smoke emission, Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$1055,Hard
Ford,F-150,2008,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$158,Medium
Audi,A4,2016,Tire Issues,Uneven tire wear,Balance tires,$192,Easy
Audi,A4,2012,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$243,Medium
Ford,F-150,2014,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$178,Easy
Ford,F-150,2006,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$500,Medium
Toyota,Corolla,2016,Tire Issues,"Car vibration, Uneven tire wear",Balance tires,$73,Easy
Kia,Sportage,2017,Brake Issues,"Steering wheel vibration, Squeaking when braking, Increased stopping distance",Inspect brake system,$315,Medium
Chevrolet,Camaro,2018,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Replace the battery,$175,Easy
Audi,A4,2018,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Fix the leak,$471,Medium
Audi,A4,2021,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$724,Medium
BMW,X5,2020,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$276,Easy
Mercedes,C-Class,2018,Brake Issues,Increased stopping distance,Replace brake pads,$246,Medium
Nissan,Patrol,2000,Engine Oil Leak,"Low oil level, Burning smell",Fix the leak,$242,Medium
Audi,A4,2013,Suspension Issues,"Car swaying, Squeaking noise from underneath",Replace shock absorbers,$634,Hard
Toyota,Corolla,2017,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$898,Hard
Hyundai,Sonata,2020,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$174,Easy
Kia,Sportage,2012,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$1027,Hard
Kia,Sportage,2014,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Replace tires,$59,Easy
Audi,A4,2010,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$832,Hard
Chevrolet,Camaro,2020,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Balance tires,$222,Easy
Mercedes,C-Class,2017,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$309,Medium
Chevrolet,Camaro,2014,Suspension Issues,"Car swaying, Car vibration over bumps",Replace shock absorbers,$426,Hard
Audi,A4,2023,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$60,Easy
Audi,A4,2016,Brake Issues,Increased stopping distance,Replace brake pads,$181,Medium
Chevrolet,Camaro,2016,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$335,Medium
Hyundai,Sonata,2013,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Replace gaskets,$314,Medium
Kia,Sportage,2021,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Replace fuses,$257,Medium
Toyota,Corolla,2016,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Replace fuses,$270,Medium
Honda,Civic,2011,Dead Battery,"Weak sound when starting, Car won't start, Dim lights",Charge the battery,$190,Easy
Kia,Sportage,2012,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$120,Medium
Hyundai,Sonata,2013,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Replace gaskets,$273,Medium
Mercedes,C-Class,2018,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$278,Easy
Toyota,Corolla,2017,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$71,Easy
Hyundai,Sonata,2011,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$105,Easy
Chevrolet,Camaro,2020,Engine Oil Leak,"Burning smell, Low oil level",Fix the leak,$307,Medium
BMW,X5,2015,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$980,Hard
Honda,Civic,2013,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$156,Easy
Chevrolet,Camaro,2010,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$1046,Hard
Kia,Sportage,2010,Brake Issues,"Squeaking when braking, Increased stopping distance",Replace brake pads,$325,Medium
Hyundai,Sonata,2022,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Replace the battery,$67,Easy
Honda,Civic,2019,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$472,Medium
Hyundai,Sonata,2022,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$230,Easy
Ford,F-150,2013,Brake Issues,"Steering wheel vibration, Squeaking when braking",Replace brake pads,$285,Medium
Honda,Civic,2019,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$271,Easy
Chevrolet,Camaro,2018,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Replace shock absorbers,$469,Hard
Mercedes,C-Class,2010,Suspension Issues,"Car vibration over bumps, Car swaying",Replace shock absorbers,$647,Hard
Hyundai,Sonata,2017,Dead Battery,Dim lights,Charge the battery,$131,Easy
Nissan,Patrol,2021,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$131,Easy
Honda,Civic,2017,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$256,Easy
BMW,X5,2010,Engine Oil Leak,Oil spots under the car,Fix the leak,$452,Medium
Nissan,Patrol,2006,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$179,Easy
Nissan,Patrol,2014,Suspension Issues,"Squeaking noise from underneath, Car swaying",Inspect suspension system,$745,Hard
Nissan,Patrol,2002,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Replace fuses,$288,Medium
Chevrolet,Camaro,2014,Dead Battery,Car won't start,Replace the battery,$78,Easy
Honda,Civic,2016,Brake Issues,Increased stopping distance,Inspect brake system,$202,Medium
Chevrolet,Camaro,2022,Brake Issues,"Squeaking when braking, Steering wheel vibration",Inspect brake system,$232,Medium
Honda,Civic,2019,Dead Battery,"Dim lights, Weak sound when starting",Replace the battery,$72,Easy
Chevrolet,Camaro,2016,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$257,Medium
Honda,Civic,2012,Cooling System Issues,Engine overheating,Inspect cooling system,$647,Medium
Chevrolet,Camaro,2018,Engine Oil Leak,"Burning smell, Oil spots under the car",Replace gaskets,$301,Medium
Hyundai,Sonata,2021,Brake Issues,"Increased stopping distance, Squeaking when braking",Replace brake pads,$334,Medium
Honda,Civic,2016,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$178,Easy
Hyundai,Sonata,2019,Dead Battery,"Dim lights, Car won't start",Replace the battery,$131,Easy
Nissan,Patrol,2000,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Inspect cooling system,$338,Medium
Kia,Sportage,2018,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$408,Hard
Audi,A4,2014,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$956,Hard
Chevrolet,Camaro,2014,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Inspect cooling system,$768,Medium
Hyundai,Sonata,2010,Suspension Issues,"Car swaying, Car vibration over bumps",Inspect suspension system,$546,Hard
Hyundai,Sonata,2010,Electrical System Issues,Weak battery charging,Replace fuses,$453,Medium
Chevrolet,Camaro,2021,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$438,Medium
Toyota,Corolla,2020,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Replace catalytic converter,$648,Hard
Mercedes,C-Class,2014,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$221,Easy
Toyota,Corolla,2021,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Charge the battery,$171,Easy
Audi,A4,2019,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$122,Easy
